Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
3,PA20,,Available,In,,,,,,,
4,PA21,,Available,In,,,,,,,
5,PA22,,Available,In,,,,,,,
6,PA23,,Available,In,,,,,,,
7,PA24,,Available,In,,,,,,,
8,PA25,,Available,In,,,,,,,
9,PA26,,Available,In,,,,,,,
10,PA27,LED_02,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
11,PA28,,Available,In,,,,,,,
12,PA29,ENCODER_QEA,TC0_TIOA0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
13,PA30,ENCODER_QEB,TC0_TIOB0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
14,PA31,,Available,In,,,,,,,
15,PB0,BUTTON_01,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
16,PB1,,Available,In,,,,,,,
17,PB2,BUTTON_02,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
21,PB3,,Available,In,,,,,,,
22,PB4,TRANSMIT,FLEXCOM1_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
23,PB5,RECEIVE,FLEXCOM1_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
24,PB6,,Available,In,,,,,,,
27,PB7,,Available,In,,,,,,,
28,PB8,,Available,In,,,,,,,
29,PB9,,Available,In,,,,,,,
30,PB10,,Available,In,,,,,,,
31,PB11,PHASE_A_PWMH,PWM0_PWMC0_PWMH0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
32,PB12,PHASE_A_PWML,PWM0_PWMC0_PWML0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
33,PB13,PHASE_B_PWMH,PWM0_PWMC0_PWMH1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
34,PB14,PHASE_B_PWML,PWM0_PWMC0_PWML1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
35,PB15,PHASE_C_PWMH,PWM0_PWMC0_PWMH2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
36,PB16,PHASE_C_PWML,PWM0_PWMC0_PWML2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
37,PB17,,Available,In,,,,,,,
38,PB18,,Available,In,,,,,,,
39,PB19,,Available,In,,,,,,,
44,PB20,,Available,In,,,,,,,
45,PB21,,Available,In,,,,,,,
46,PB22,,Available,In,,,,,,,
47,PB23,,Available,In,,,,,,,
48,PB24,,Available,In,,,,,,,
49,PB25,,Available,In,,,,,,,
50,PB26,,Available,In,,,,,,,
51,PB27,,Available,In,,,,,,,
52,PB28,,Available,In,,,,,,,
53,PD0,,Available,In,,,,,,,
54,PD1,,Available,In,,,,,,,
55,PD2,,Available,In,,,,,,,
56,PD3,,Available,In,,,,,,,
